Date,Price,Open,High,Low,Change %,SMA_10,EMA_10,RSI_14,MACD,MACD_Signal,MACD_Diff
2016-01-28,2.411,2.443,2.464,2.4,-1.35,2.3318000000000003,2.383651826478513,46.98885458517569,-0.06576396111034644,-0.10263051661137607,0.03686655550102963
2016-01-27,2.444,2.427,2.447,2.424,0.78,2.3583,2.394624221664238,49.30256268579666,-0.056057725296590366,-0.09331595834841894,0.03725823305182857
2016-01-26,2.425,2.413,2.433,2.413,-1.34,2.3885,2.400147090452558,48.00347519021396,-0.04932995962716191,-0.08451875860416753,0.03518879897700562
2016-01-25,2.458,2.487,2.487,2.452,-0.16,2.4145999999999996,2.4106658012793654,50.44575165209222,-0.04086427473371046,-0.07578786183007613,0.03492358709636567
2016-01-22,2.462,2.456,2.467,2.442,2.71,2.4289,2.419999291955844,50.74773116584272,-0.03344683756951117,-0.06731965697796313,0.033872819408451965
2016-01-21,2.397,2.358,2.401,2.35,1.78,2.4317,2.415817602509327,45.85734103460299,-0.032439479818990424,-0.06034362154616859,0.027904141727178165
2016-01-20,2.355,2.425,2.43,2.336,-4.77,2.43,2.40475985659854,42.97550988660689,-0.034630986084890125,-0.0552010944539129,0.020570108369022774
2016-01-19,2.473,2.48,2.508,2.4633,1.52,2.436,2.417167155398805,52.08596033201318,-0.026540217648373776,-0.049468919092805076,0.0229287014444313
2016-01-18,2.436,2.406,2.45,2.396,1.33,2.4335,2.4205913089626585,49.41981420923871,-0.022850410837446322,-0.044145217441733324,0.021294806604287002
2016-01-15,2.404,2.485,2.512,2.3962,-3.61,2.4265,2.417574707333084,47.170912436736565,-0.02225183956578025,-0.03976654186654271,0.017514702300762457
2016-01-14,2.494,2.504,2.5058,2.452,-1.77,2.4348,2.4314702150907053,53.5703525450352,-0.01434980407298525,-0.03468319430783121,0.020333390234845962
2016-01-13,2.539,2.6,2.6105,2.523,-1.74,2.4443,2.4510210850742133,56.413353545776246,-0.004405476503724248,-0.028627650747009823,0.024222174243285575
2016-01-12,2.584,2.551,2.605,2.537,1.97,2.4602,2.4751990696061745,59.109763561654724,0.007025611779927665,-0.021496998241622326,0.02852261002154999
2016-01-11,2.534,2.53,2.561,2.495,0.16,2.4678,2.485890147859597,55.03577560293062,0.011912924688430415,-0.014815013655611777,0.02672793834404219
2016-01-08,2.53,2.523,2.594,2.523,0.72,2.4746,2.4939101209760337,54.71090598642064,0.015287167853913708,-0.00879457735370668,0.024081745207620388
2016-01-07,2.512,2.503,2.516,2.48,-1.64,2.4861,2.497199189889482,53.189356990377576,0.016320695486655268,-0.0037715227856342905,0.020092218272289557
2016-01-06,2.554,2.618,2.631,2.537,-2.82,2.506,2.507526609909576,56.24696421365359,0.020294875877131524,0.0010417569469188723,0.019253118930212653
